subject,metric,roi,mean,sd,nvox
M87125899,RD,JHU_CgC_R,0.000552,0.000176,2231
M87125899,L1,JHU_UF_R,0.001037,0.000153,2469
M87125899,MD,JHU_UF_R,0.000613,0.000089,2469
M87125899,RD,JHU_UF_R,0.000401,0.000098,2469
M87125899,L1,JHU_UF_L,0.001084,0.000115,2515
M87125899,MD,JHU_UF_L,0.000660,0.000079,2515
M87125899,RD,JHU_UF_L,0.000447,0.000087,2515
M87129825,L1,JHU_CgC_L,0.001179,0.000193,2228
M87129825,MD,JHU_CgC_L,0.000740,0.000151,2228
M87129825,RD,JHU_CgC_L,0.000521,0.000151,2228
M87129825,L1,JHU_CgC_R,0.001113,0.000168,2231
M87129825,MD,JHU_CgC_R,0.000719,0.000147,2231
M87129825,RD,JHU_CgC_R,0.000522,0.000156,2231
M87129825,L1,JHU_UF_R,0.001015,0.000115,2469
M87129825,MD,JHU_UF_R,0.000593,0.000081,2469
M87129825,RD,JHU_UF_R,0.000382,0.000093,2469
M87129825,L1,JHU_UF_L,0.001067,0.000108,2515
M87129825,MD,JHU_UF_L,0.000650,0.000058,2515
M87129825,RD,JHU_UF_L,0.000442,0.000061,2515
M87130287,L1,JHU_CgC_L,0.001093,0.000190,2228
M87130287,MD,JHU_CgC_L,0.000730,0.000159,2228
M87130287,RD,JHU_CgC_L,0.000549,0.000156,2228
M87130287,L1,JHU_CgC_R,0.001162,0.000198,2231
M87130287,MD,JHU_CgC_R,0.000756,0.000200,2231
M87130287,RD,JHU_CgC_R,0.000553,0.000215,2231
M87130287,L1,JHU_UF_R,0.001017,0.000097,2469
M87130287,MD,JHU_UF_R,0.000614,0.000055,2469
M87130287,RD,JHU_UF_R,0.000412,0.000069,2469
M87130287,L1,JHU_UF_L,0.001054,0.000081,2515
M87130287,MD,JHU_UF_L,0.000664,0.000051,2515
